@RELATION MonteCarloTestingSignal.txt

@ATTRIBUTE f1 numeric
@ATTRIBUTE f2 numeric
@ATTRIBUTE f3 numeric
@ATTRIBUTE f4 numeric
@ATTRIBUTE f5 numeric
@ATTRIBUTE f6 numeric
@ATTRIBUTE f7 numeric
@ATTRIBUTE f8 numeric
@ATTRIBUTE class {1, -1}

@DATA
0.46395,0.10752,0.47273,0.33801,0.2731,0.21763,0.05217,0.06589,1
0.17283,0.1325,0.50895,0.37105,0.23106,0.15029,0.28901,0.03693,1
0.19354,0.5192,0.21131,0.6692,0.43203,0.07379,0.02889,0.07486,1
0.47342,0.18208,0.442,0.54578,0.19085,0.73064,0.06716,0.07215,1
0.21049,0.19739,0.54178,0.44528,0.26888,0.14913,0.21496,0.02187,1
0.53501,0.44574,0.54023,0.76056,0.43887,0.25934,0.03922,0.03147,1
0.48094,0.14976,0.28632,0.40824,0.30197,0.28267,0.13469,0.0564,1
0.64519,0.25351,0.55279,0.50176,0.3909,0.47745,0.17174,0.11212,1
0.18499,0.05693,0.53953,0.24019,0.11425,0.02933,0.11593,0.04648,1
0.44187,0.28375,0.5159,0.4895,0.31486,0.10971,0.10855,0.04604,1
0.23969,0.12365,0.23177,0.38161,0.24247,0.08272,0.06674,0.10501,1
0.24556,0.1088,0.50215,0.33588,0.22604,0.19745,0.28829,0.02348,1
0.29282,0.21113,0.62026,0.60892,0.24708,0.26758,0.04684,0.10086,1
0.46038,0.67394,0.49742,0.7354,0.42434,0.50356,0.02154,0.0539,1
0.42543,0.3047,0.42151,0.38834,0.67615,0.10119,0.34192,0.04021,1
0.32358,0.52736,0.41965,0.64176,0.33347,0.29652,0.15101,0.16207,1
0.4236,0.24069,0.54902,0.56404,0.20496,0.98064,0.07939,0.14009,1
0.58128,0.12194,0.44596,0.37762,0.173,0.96523,0.11994,0.10422,1
0.59078,0.10091,0.56412,0.40254,0.20739,0.74908,0.293,0.04785,1
0.41028,0.11532,0.39819,0.39024,0.1442,0.7371,0.1455,0.0703,1
0.54149,0.10216,0.43293,0.41859,0.19715,0.46516,0.00934,0.08212,1
0.52417,0.05369,0.67933,0.23025,0.14301,0.15609,0.28052,0.11271,1
0.24165,0.13411,0.24402,0.39502,0.24456,0.25215,0.24298,0.03192,1
0.58591,0.03862,0.61726,0.18557,0.18643,0.29653,0.18726,0.08878,1
0.17203,0.30278,0.5555,0.51511,0.36015,0.02648,0.28796,0.26874,1
0.35137,0.1394,0.27897,0.41101,0.17346,0.43427,0.11046,0.02104,1
0.47048,0.41644,0.42423,0.74904,0.34713,0.34338,0.07236,0.08391,1
0.65947,0.15297,0.5397,0.41557,0.28796,0.10992,0.1659,0.03292,1
0.43487,0.23193,0.45373,0.52716,0.2896,0.37033,0.11583,0.05443,1
0.36718,0.37787,0.21388,0.55444,0.55362,0.09918,0.24719,0.09455,1
0.30678,0.21356,0.30944,0.54636,0.30343,0.1901,0.1806,0.04557,1
0.3574,0.06032,0.46919,0.29715,0.16333,0.33634,0.28928,0.09615,1
0.30846,0.26011,0.51856,0.52136,0.2737,0.25205,0.16026,0.01216,1
0.42652,0.0743,0.72295,0.35421,0.22554,0.18829,0.07009,0.05995,1
0.56102,0.14519,0.6043,0.41736,0.18524,0.43688,0.18579,0.07959,1
0.40068,0.10054,0.25157,0.42247,0.17967,0.60591,0.23812,0.11223,1
0.36044,0.03887,0.65424,0.27293,0.11905,0.01287,0.1626,0.16515,1
0.67234,0.10094,0.50001,0.45125,0.22988,0.95324,0.30535,0.13371,1
0.30229,0.21151,0.57742,0.41258,0.37214,0.16106,0.19117,0.04695,1
0.35013,0.154,0.50962,0.36957,0.21385,0.40702,0.17743,0.07268,1
0.60149,0.10242,0.6679,0.41177,0.16157,0.72407,0.15598,0.12814,1
0.50048,0.37039,0.45905,0.50477,0.27029,0.9875,0.03743,0.04483,1
0.39474,0.41149,0.48262,0.61686,0.53254,0.19991,0.12263,0.25021,1
0.22351,0.12555,0.44886,0.47387,0.18213,0.26265,0.14811,0.08453,1
0.34131,0.58936,0.29873,0.56824,0.39165,0.39116,0.05073,0.05826,1
0.26076,0.51065,0.29838,0.63385,0.60384,0.00129,0.1073,0.14774,1
0.14825,0.09743,0.10865,0.25471,0.24424,0.00208,0.16763,0.11878,1
0.40884,0.35396,0.50822,0.70223,0.30945,0.34856,0.04402,0.01661,1
0.37198,0.43748,0.40721,0.60846,0.47987,0.18053,0.02916,0.06508,1
0.2042,0.14782,0.51344,0.44592,0.23158,0.119,0.20027,0.04875,1
0.32222,0.2478,0.52724,0.65218,0.29775,0.25858,0.02968,0.07052,1
0.44527,0.26946,0.61719,0.55117,0.22873,0.64251,0.11168,0.08872,1
0.29423,0.11288,0.35013,0.49825,0.1546,0.34168,0.07258,0.02883,1
0.19905,0.1595,0.54614,0.57559,0.23332,0.17207,0.06251,0.06625,1
0.6369,0.03874,0.54181,0.18799,0.11978,0.48401,0.15779,0.17161,1
0.40263,0.23403,0.25763,0.37981,0.34918,0.13827,0.07733,0.00043,1
0.25361,0.28592,0.49581,0.55423,0.39837,0.14693,0.08243,0.01979,1
0.4367,0.31424,0.4428,0.3923,0.2912,0.00123,0.18332,0.06371,1
0.17283,0.1203,0.20185,0.51607,0.21843,0.06091,0.20986,0.11225,1
0.20199,0.36091,0.5131,0.62538,0.36792,0.142,0.03082,0.13338,1
0.6161,0.48151,0.35449,0.78734,0.4307,0.37033,0.08994,0.07365,1
0.24988,0.57355,0.33901,0.5975,0.71433,0.09214,0.28276,0.03113,1
0.21377,0.08956,0.44665,0.35772,0.18416,0.19771,0.29522,0.02323,1
0.32689,0.12777,0.3095,0.35172,0.21336,0.44111,0.3655,0.05185,1
0.39923,0.54044,0.31348,0.54987,0.49357,0.25709,0.07533,0.04917,1
0.16458,0.22726,0.5891,0.24938,0.34726,0.08902,0.03081,0.02652,1
0.34496,0.23239,0.2306,0.55176,0.31022,0.16319,0.08671,0.01934,1
0.3733,0.1093,0.22005,0.38448,0.22478,0.10712,0.09463,0.07824,1
0.23703,0.2617,0.47413,0.60567,0.24934,0.21601,0.04567,0.06815,1
0.26383,0.24608,0.45784,0.47665,0.25471,0.03234,0.08675,0.04981,1
0.17073,0.2016,0.70781,0.52035,0.36556,0.0942,0.36208,0.12394,1
0.14962,0.09846,0.59274,0.39319,0.13337,0.09349,0.19792,0.00157,1
0.44897,0.67168,0.5726,0.77787,0.52708,0.32112,0.04382,0.01243,1
0.57088,0.13091,0.46948,0.55324,0.25137,0.96861,0.26164,0.08873,1
0.12572,0.19155,0.27631,0.45396,0.29133,0.13778,0.1563,0.03581,1
0.22383,0.22722,0.39695,0.45809,0.36033,0.02531,0.06444,0.07739,1
0.26286,0.24857,0.37352,0.56683,0.28616,0.11204,0.05144,0.03708,1
0.43957,0.12291,0.52574,0.44803,0.15856,0.61708,0.13073,0.00625,1
0.40945,0.34525,0.34408,0.62184,0.54147,0.23806,0.2621,0.08763,1
0.22695,0.22523,0.54781,0.48444,0.32077,0.13871,0.19927,0.02837,1
0.3293,0.04844,0.2501,0.28112,0.1172,0.46666,0.18103,0.09099,1
0.61357,0.12551,0.56602,0.39042,0.19476,0.42753,0.13201,0.02387,1
0.43118,0.15202,0.28819,0.49439,0.22094,0.17196,0.1127,0.0721,1
0.47176,0.23466,0.51029,0.56006,0.4677,0.0244,0.24786,0.01278,1
0.498,0.17393,0.60507,0.57786,0.25742,0.43716,0.16716,0.02686,1
0.19568,0.08605,0.54395,0.30217,0.16861,0.19437,0.1018,0.09514,1
0.32246,0.17144,0.50305,0.55476,0.17605,0.48698,0.03832,0.02358,1
0.2632,0.26527,0.48094,0.44256,0.33466,0.25183,0.20485,0.03984,1
0.5794,0.17123,0.55079,0.44896,0.2418,0.38609,0.09675,0.03159,1
0.1353,0.0504,0.30846,0.2291,0.11972,0.09437,0.09417,0.00847,1
0.37223,0.86143,0.54863,0.74927,0.77411,0.03085,0.28331,0.07716,1
0.13842,0.21034,0.51527,0.59855,0.30334,0.03129,0.23672,0.04144,1
0.28071,0.44383,0.38855,0.58535,0.4843,0.05165,0.07315,0.03872,1
0.17576,0.37104,0.55211,0.60757,0.34752,0.13786,0.09008,0.06874,1
0.32975,0.14619,0.45112,0.47657,0.21507,0.16256,0.08089,0.09861,1
0.20716,0.44612,0.43167,0.56313,0.39684,0.16354,0.04524,0.05666,1
0.56885,0.45805,0.56283,0.79142,0.38071,0.54317,0.04354,0.03167,1
0.34509,0.16801,0.38001,0.44752,0.28009,0.23244,0.2407,0.0924,1
0.27015,0.14784,0.50083,0.43962,0.32426,0.04559,0.18069,0.01921,1
0.27847,0.32051,0.3508,0.60015,0.30825,0.22626,0.11284,0.07587,1
0.34312,0.37223,0.42446,0.63724,0.4069,0.19463,0.02051,0.03732,1
0.44924,0.15032,0.35763,0.4178,0.39169,0.13667,0.30527,0.08695,1
0.14786,0.16658,0.53209,0.43813,0.23308,0.16586,0.25992,0.04107,1
0.44034,0.19287,0.66723,0.45563,0.24298,0.04806,0.15414,0.07685,1
0.29354,0.06183,0.46935,0.31159,0.13124,0.34694,0.08362,0.04722,1
0.21958,0.12627,0.19505,0.39083,0.17795,0.13287,0.09203,0.07642,1
0.10927,0.40783,0.59308,0.6817,0.35388,0.12659,0.15029,0.06512,1
0.32629,0.1954,0.45343,0.4152,0.32748,0.01386,0.19998,0.02556,1
0.46496,0.27433,0.28027,0.33447,0.5262,0.14417,0.12896,0.08524,1
0.40032,0.37981,0.60917,0.68387,0.33781,0.64121,0.23187,0.02214,1
0.10991,0.20292,0.22643,0.35983,0.25831,0.04464,0.05132,0.09783,1
0.46836,0.26582,0.60109,0.49824,0.24906,0.43695,0.09596,0.02228,1
0.19962,0.49786,0.43997,0.69618,0.36876,0.16107,0.05483,0.03789,1
0.27462,0.10358,0.19748,0.36753,0.22882,0.04716,0.13936,0.05512,1
0.22832,0.58078,0.26278,0.6675,0.43125,0.2357,0.00397,0.0841,1
0.52104,0.80377,0.56117,0.69408,0.5378,0.26334,0.07382,0.03298,1
0.25556,0.52739,0.5647,0.77347,0.34631,0.25278,0.02921,0.05563,1
0.20071,0.35319,0.35531,0.7349,0.32339,0.12893,0.04339,0.01149,1
0.54528,0.36254,0.57155,0.60699,0.30897,0.75413,0.04875,0.03855,1
0.15751,0.08066,0.49053,0.33619,0.2101,0.09783,0.23283,0.05999,1
0.12248,0.31345,0.41766,0.63743,0.46651,0.01954,0.27845,0.11353,1
0.63457,0.212,0.52838,0.51277,0.27742,0.65838,0.18844,0.00874,1
0.38373,0.19524,0.42904,0.40778,0.47265,0.0246,0.25475,0.05906,1
0.13317,0.24872,0.36323,0.6403,0.26076,0.14064,0.14202,0.03586,1
0.47684,0.15653,0.54585,0.41388,0.22055,0.47343,0.01505,0.0943,1
0.26508,0.09116,0.34253,0.22181,0.19373,0.20404,0.21035,0.09345,1
0.12863,0.50613,0.76114,0.75124,0.4485,0.03608,0.06906,0.07084,1
0.41132,0.53526,0.55837,0.74872,0.88489,0.04213,0.29407,0.11786,1
0.222,0.28479,0.49595,0.5501,0.28962,0.03889,0.09385,0.14901,1
0.66869,0.14628,0.4058,0.29851,0.25239,0.25581,0.17626,0.02692,1
0.42046,0.1319,0.53242,0.47655,0.26636,0.43679,0.2635,0.06478,1
0.4901,0.20278,0.60865,0.64152,0.4772,0.50965,0.3496,0.06216,1
0.291,0.42231,0.51712,0.57326,0.3829,0.07083,0.11055,0.04263,1
0.44626,0.63493,0.63093,0.63022,0.52793,0.24823,0.07298,0.1111,1
0.60826,0.31068,0.53976,0.72502,0.29632,0.74359,0.05063,0.13116,1
0.61506,0.11384,0.60443,0.4242,0.18135,0.68071,0.03638,0.06173,1
0.42319,0.10545,0.60734,0.40212,0.24783,0.00439,0.13741,0.13571,1
0.16963,0.40825,0.30644,0.7196,0.36971,0.04904,0.09929,0.01826,1
0.47228,0.19577,0.27665,0.6412,0.25687,0.45549,0.07609,0.20457,1
0.36989,0.07757,0.23023,0.37059,0.18246,0.21272,0.18147,0.06969,1
0.35879,0.1509,0.49642,0.38562,0.27807,0.2811,0.05986,0.09562,1
0.29533,0.47957,0.40521,0.76758,0.41482,0.22119,0.11715,0.03512,1
0.2565,0.4473,0.45764,0.5556,0.49502,0.09099,0.02637,0.01319,1
0.40474,0.30796,0.31396,0.52952,0.30659,0.10424,0.10704,0.08379,1
0.41717,0.20893,0.50011,0.48707,0.34899,0.25832,0.09227,0.01413,1
0.4871,0.20248,0.28794,0.46603,0.46249,0.04848,0.2852,0.02661,1
0.14858,0.11275,0.42625,0.35149,0.23164,0.05322,0.20705,0.07479,1
0.27759,0.09503,0.17133,0.26027,0.22286,0.19764,0.08498,0.03446,1
0.32167,0.39058,0.42683,0.59394,0.41243,0.35693,0.2402,0.05214,1
0.33038,0.17422,0.47905,0.48543,0.2566,0.19335,0.1183,0.076,1
0.31228,0.19423,0.46858,0.4674,0.3819,0.01418,0.13636,0.19056,1
0.44189,0.17409,0.54503,0.52434,0.26601,0.11858,0.08175,0.10474,1
0.58746,0.11986,0.37884,0.36582,0.33949,0.49867,0.31215,0.0947,1
0.50693,0.07462,0.38371,0.27993,0.17694,0.16795,0.2097,0.10423,1
0.3127,0.29118,0.30963,0.47177,0.40056,0.11843,0.04637,0.1237,1
0.32596,0.43395,0.59629,0.66777,0.35216,0.31138,0.01403,0.07155,1
0.24386,0.16473,0.39022,0.45468,0.36135,0.1032,0.31683,0.05389,1
0.31345,0.36587,0.21073,0.59952,0.35512,0.28421,0.13709,0.08605,1
0.60546,0.20707,0.43758,0.44789,0.29074,0.68205,0.15582,0.11701,1
0.53252,0.09415,0.48992,0.36784,0.33631,0.30223,0.38365,0.096,1
0.24147,0.12561,0.34924,0.42076,0.2132,0.21543,0.26478,0.10001,1
0.39152,0.23121,0.38218,0.53101,0.28833,0.25918,0.09321,0.0572,1
0.29363,0.19121,0.24123,0.44573,0.3351,0.19069,0.09795,0.06323,1
0.11224,0.30649,0.65713,0.61705,0.56444,0.0885,0.34847,0.09599,1
0.44912,0.11971,0.32993,0.16934,0.15741,0.65548,0.09548,0.14144,1
0.15901,0.16809,0.55277,0.4704,0.17222,0.12098,0.05633,0.26066,1
0.1724,0.07563,0.639,0.34384,0.21971,0.08533,0.09762,0.02208,1
0.61477,0.2506,0.65409,0.59335,0.53574,0.10608,0.18978,0.07324,1
0.31781,0.22074,0.31526,0.51193,0.40552,0.13011,0.18036,0.0121,1
0.47407,0.09196,0.34544,0.40945,0.22059,0.33171,0.1975,0.06951,1
0.29077,0.3595,0.34945,0.68778,0.33904,0.22427,0.0386,0.0263,1
0.31441,0.07767,0.73892,0.42456,0.15346,0.13885,0.07292,0.0242,1
0.51773,0.06656,0.42285,0.34638,0.12213,0.775,0.13269,0.02292,1
0.69594,0.51627,0.65829,0.70318,0.65959,0.33345,0.16286,0.03215,1
0.31787,0.19315,0.54699,0.48653,0.22772,0.38,0.19981,0.05337,1
0.3831,0.09238,0.46039,0.27388,0.27279,0.21759,0.27859,0.05807,1
0.24706,0.19166,0.29656,0.47259,0.2859,0.25846,0.25899,0.08313,1
0.31839,0.33936,0.54283,0.60496,0.29405,0.33171,0.03909,0.06559,1
0.50456,0.17464,0.28256,0.30818,0.5315,0.14239,0.19688,0.03,1
0.34515,0.27506,0.52109,0.5391,0.36122,0.24371,0.1955,0.09244,1
0.48691,0.10456,0.49651,0.47491,0.19275,0.28391,0.14279,0.02087,1
0.50252,0.55803,0.5847,0.76768,0.39116,0.05639,0.08791,0.1037,1
0.12237,0.57906,0.32178,0.72389,0.41857,0.1106,0.09022,0.01389,1
0.69826,0.1659,0.54169,0.31444,0.44407,0.097,0.09206,0.09138,1
0.23304,0.09731,0.34141,0.33807,0.21408,0.17514,0.29311,0.16966,1
0.22658,0.11146,0.27127,0.3786,0.2038,0.1602,0.07769,0.08867,1
0.46328,0.03974,0.56322,0.07003,0.22963,0.36678,0.30055,0.09795,1
0.37291,0.4569,0.52302,0.52686,0.62383,0.2209,0.33513,0.02073,1
0.35072,0.26541,0.36932,0.5527,0.42585,0.13786,0.25345,0.0831,1
0.17671,0.23924,0.10364,0.55735,0.25431,0.16999,0.07169,0.04445,1
0.18046,0.13491,0.39513,0.44412,0.19474,0.14861,0.05718,0.04661,1
0.60914,0.4709,0.58939,0.73741,0.38935,0.6139,0.03713,0.07572,1
0.59757,0.25082,0.6622,0.58141,0.39392,0.43155,0.22773,0.04504,1
0.21051,0.1761,0.46591,0.26993,0.21382,0.12478,0.08362,0.02897,1
0.45378,0.28648,0.52013,0.65304,0.29027,0.37467,0.0401,0.03864,1
0.31318,0.1513,0.31192,0.48535,0.14997,0.61521,0.04598,0.06251,1
0.35796,0.25109,0.42726,0.65702,0.25215,0.25969,0.07868,0.07858,1
0.5325,0.15166,0.51334,0.51237,0.33095,0.51355,0.29114,0.0888,1
0.37728,0.23513,0.45867,0.53088,0.25674,0.48234,0.07832,0.04238,1
0.33977,0.34196,0.2359,0.63797,0.57467,0.18336,0.22934,0.04846,1
0.19555,0.13871,0.50429,0.43894,0.29602,0.08992,0.09111,0.0675,1
0.27985,0.29151,0.48186,0.57568,0.36074,0.12873,0.08994,0.07419,1
0.32528,0.18118,0.58629,0.51966,0.23823,0.10283,0.07479,0.07378,1
0.55203,0.18531,0.42928,0.59344,0.39609,0.37501,0.28683,0.03012,1
0.39391,0.35335,0.46227,0.58188,0.31304,0.58499,0.21346,0.00627,1
0.57883,0.16208,0.54576,0.34199,0.41425,0.20396,0.14592,0.04824,1
0.15454,0.05861,0.11499,0.29331,0.14976,0.02598,0.21652,0.00793,1
